,address,street_name,street_type,street_quad,house_number,address_type,longitude,latitude,location,point,:@computed_region_4a3i_ccfj,:@computed_region_4b54_tmc4,:@computed_region_kxmf_bzkv,:@computed_region_hq2j_w7j9,:@computed_region_p8tp_5dkv,house_alpha
27,92 EDGEBROOK PT NW,EDGEBROOK,PT,NW,92,Parcel,-114.12719421744241,51.13202219095467,"{'latitude': '51.13202219095467', 'longitude': '-114.12719421744241', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.12719421744241, 51.13202219095467]}",2,2,272,59,4,
28,312 RIVERVIEW CL SE,RIVERVIEW,CL,SE,312,Parcel,-114.01587522243354,50.96940367661958,"{'latitude': '50.96940367661958', 'longitude': '-114.01587522243354', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.01587522243354, 50.96940367661958]}",3,10,19,234,8,
29,290 TUSSLEWOOD TC NW,TUSSLEWOOD,TC,NW,290,Parcel,-114.24963655670403,51.138695545336546,"{'latitude': '51.138695545336546', 'longitude': '-114.24963655670403', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.24963655670403, 51.138695545336546]}",2,13,158,107,9,
30,818 17 AV NW,17,AV,NW,818,Parcel,-114.07995366053586,51.06797998876471,"{'latitude': '51.06797998876471', 'longitude': '-114.07995366053586', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.07995366053586, 51.06797998876471]}",2,7,17,256,7,
31,503 RANCHVIEW PL NW,RANCHVIEW,PL,NW,503,Parcel,-114.18693575837102,51.115417159931944,"{'latitude': '51.115417159931944', 'longitude': '-114.18693575837102', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.18693575837102, 51.115417159931944]}",2,3,245,174,10,
32,71 SKYVIEW POINT TC NE,SKYVIEW POINT,TC,NE,71,Parcel,-113.9532478499633,51.16046527714098,"{'latitude': '51.16046527714098', 'longitude': '-113.9532478499633', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.9532478499633, 51.16046527714098]}",4,11,12,132,1,
33,23 HARVEST GOLD PL NE,HARVEST GOLD,PL,NE,23,Parcel,-114.06424471836485,51.14254089293574,"{'latitude': '51.14254089293574', 'longitude': '-114.06424471836485', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.06424471836485, 51.14254089293574]}",4,11,27,241,12,
34,768 SOMERSET DR SW,SOMERSET,DR,SW,768,Parcel,-114.08263616839152,50.896656880665915,"{'latitude': '50.896656880665915', 'longitude': '-114.08263616839152', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.08263616839152, 50.896656880665915]}",1,5,55,125,6,
35,22 BRIDLERANGE CI SW,BRIDLERANGE,CI,SW,22,Parcel,-114.11405288404754,50.90248952504849,"{'latitude': '50.90248952504849', 'longitude': '-114.11405288404754', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.11405288404754, 50.90248952504849]}",1,5,138,283,6,
36,7008 FARRELL RD SE,FARRELL,RD,SE,7008,Parcel,-114.0600197159154,50.99216130218698,"{'latitude': '50.99216130218698', 'longitude': '-114.0600197159154', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.0600197159154, 50.99216130218698]}",3,10,76,181,11,
37,#120 300 EVANSCREEK CO NW,EVANSCREEK,CO,NW,300,Parcel,-114.11925319611757,51.16630199330978,"{'latitude': '51.16630199330978', 'longitude': '-114.11925319611757', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.11925319611757, 51.16630199330978]}",2,3,237,92,10,
38,3559 DOUGLAS WOODS HT SE,DOUGLAS WOODS,HT,SE,3559,Parcel,-113.98886324074326,50.94573039611667,"{'latitude': '50.94573039611667', 'longitude': '-113.98886324074326', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.98886324074326, 50.94573039611667]}",3,4,268,124,13,
39,193 EVANSGLEN DR NW,EVANSGLEN,DR,NW,193,Parcel,-114.09548932055478,51.177569717002136,"{'latitude': '51.177569717002136', 'longitude': '-114.09548932055478', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.09548932055478, 51.177569717002136]}",2,3,237,92,10,
40,59 WOOD VALLEY ME SW,WOOD VALLEY,ME,SW,59,Parcel,-114.13400670324357,50.93958915817431,"{'latitude': '50.93958915817431', 'longitude': '-114.13400670324357', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.13400670324357, 50.93958915817431]}",1,5,43,288,6,
41,8951 46 ST NE,46,ST,NE,8951,Parcel,-113.96605051828426,51.13347399855702,"{'latitude': '51.13347399855702', 'longitude': '-113.96605051828426', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.96605051828426, 51.13347399855702]}",4,11,2,143,1,
42,220 CEDARGROVE CO SW,CEDARGROVE,CO,SW,220,Parcel,-114.1229565245129,50.95169091082072,"{'latitude': '50.95169091082072', 'longitude': '-114.1229565245129', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.1229565245129, 50.95169091082072]}",1,8,126,270,5,
43,66 EVANSPARK TC NW,EVANSPARK,TC,NW,66,Parcel,-114.11215925567508,51.17055213789789,"{'latitude': '51.17055213789789', 'longitude': '-114.11215925567508', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.11215925567508, 51.17055213789789]}",2,3,237,92,10,
44,415 4 AV NE,4,AV,NE,415,Parcel,-114.0534697704889,51.056045264547315,"{'latitude': '51.056045264547315', 'longitude': '-114.0534697704889', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.0534697704889, 51.056045264547315]}",4,7,266,120,7,
45,54 SIENNA PARK GV SW,SIENNA PARK,GV,SW,54,Parcel,-114.18353933582857,51.026591356357926,"{'latitude': '51.026591356357926', 'longitude': '-114.18353933582857', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.18353933582857, 51.026591356357926]}",1,1,278,65,14,
46,2526 11 AV NW,11,AV,NW,2526,Parcel,-114.12079638395706,51.06098814508394,"{'latitude': '51.06098814508394', 'longitude': '-114.12079638395706', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.12079638395706, 51.06098814508394]}",2,7,154,103,7,
47,37 RUNDLELAWN CL NE,RUNDLELAWN,CL,NE,37,Parcel,-113.97692161532852,51.080710249921765,"{'latitude': '51.080710249921765', 'longitude': '-113.97692161532852', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.97692161532852, 51.080710249921765]}",4,9,34,291,3,
48,112 VALLEY POINTE PL NW,VALLEY POINTE,PL,NW,112,Parcel,-114.27004089610527,51.09118300859547,"{'latitude': '51.09118300859547', 'longitude': '-114.27004089610527', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.27004089610527, 51.09118300859547]}",2,13,47,175,9,
49,8420 BERWICK RD NW,BERWICK,RD,NW,8420,Parcel,-114.0897288647475,51.128890041635124,"{'latitude': '51.128890041635124', 'longitude': '-114.0897288647475', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.0897288647475, 51.128890041635124]}",2,2,273,60,4,
50,214 NEW BRIGHTON WK SE,NEW BRIGHTON,WK,SE,214,Parcel,-113.93476692732985,50.92158105946072,"{'latitude': '50.92158105946072', 'longitude': '-113.93476692732985', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.93476692732985, 50.92158105946072]}",3,4,139,247,8,
51,158 SADDLEMEAD GR NE,SADDLEMEAD,GR,NE,158,Parcel,-113.94405662922664,51.13141625064666,"{'latitude': '51.13141625064666', 'longitude': '-113.94405662922664', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.94405662922664, 51.13141625064666]}",4,11,2,143,1,
52,116 HUNTWELL RD NE,HUNTWELL,RD,NE,116,Parcel,-114.05147140671515,51.11806713308279,"{'latitude': '51.11806713308279', 'longitude': '-114.05147140671515', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.05147140671515, 51.11806713308279]}",4,2,261,158,4,
53,23 CORNERSTONE CI NE,CORNERSTONE,CI,NE,23,Parcel,-113.93975901846115,51.16269750747427,"{'latitude': '51.16269750747427', 'longitude': '-113.93975901846115', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.93975901846115, 51.16269750747427]}",4,11,11,133,1,
54,166 COVERTON CI NE,COVERTON,CI,NE,166,Parcel,-114.04035006505515,51.164926828496526,"{'latitude': '51.164926828496526', 'longitude': '-114.04035006505515', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.04035006505515, 51.164926828496526]}",4,11,251,8,12,
55,27 HUNTSTROM PL NE,HUNTSTROM,PL,NE,27,Parcel,-114.05290912727509,51.12300936922873,"{'latitude': '51.12300936922873', 'longitude': '-114.05290912727509', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.05290912727509, 51.12300936922873]}",4,2,261,158,4,
56,2033 46 AV SW,46,AV,SW,2033,Parcel,-114.10817479257933,51.012313617981825,"{'latitude': '51.012313617981825', 'longitude': '-114.10817479257933', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.10817479257933, 51.012313617981825]}",1,8,200,267,2,
57,19 SCENIC COVE PL NW,SCENIC COVE,PL,NW,19,Parcel,-114.20563890157916,51.119949623261014,"{'latitude': '51.119949623261014', 'longitude': '-114.20563890157916', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.20563890157916, 51.119949623261014]}",2,13,148,48,9,
58,443 RUNDLELAWN WY NE,RUNDLELAWN,WY,NE,443,Parcel,-113.97704196898077,51.07644131690358,"{'latitude': '51.07644131690358', 'longitude': '-113.97704196898077', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.97704196898077, 51.07644131690358]}",4,9,34,291,3,
59,75 PANATELLA VW NW,PANATELLA,VW,NW,75,Parcel,-114.0766805945162,51.16738706557763,"{'latitude': '51.16738706557763', 'longitude': '-114.0766805945162', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.0766805945162, 51.16738706557763]}",2,11,235,95,12,
60,506 34 AV NE,34,AV,NE,506,Parcel,-114.05185638420905,51.08335487851295,"{'latitude': '51.08335487851295', 'longitude': '-114.05185638420905', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.05185638420905, 51.08335487851295]}",4,10,88,202,4,
61,2006 30 AV SW,30,AV,SW,2006,Parcel,-114.10743387826788,51.026865897855,"{'latitude': '51.026865897855', 'longitude': '-114.10743387826788', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.10743387826788, 51.026865897855]}",1,14,207,63,2,
62,2107 BRIGHTONCREST CM SE,BRIGHTONCREST,CM,SE,2107,Parcel,-113.94362348390263,50.92505578104915,"{'latitude': '50.92505578104915', 'longitude': '-113.94362348390263', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.94362348390263, 50.92505578104915]}",3,4,139,247,8,
63,1829 27 AV SW,27,AV,SW,1829,Parcel,-114.10380869874298,51.02939529736165,"{'latitude': '51.02939529736165', 'longitude': '-114.10380869874298', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.10380869874298, 51.02939529736165]}",1,14,207,63,2,
64,5603 RUNDLEHORN DR NE,RUNDLEHORN,DR,NE,5603,Parcel,-113.95369333418898,51.071460054938974,"{'latitude': '51.071460054938974', 'longitude': '-113.95369333418898', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.95369333418898, 51.071460054938974]}",4,9,36,294,3,
65,90 BRIGHTONSTONE PS SE,BRIGHTONSTONE,PS,SE,90,Parcel,-113.94811729494288,50.922275654327244,"{'latitude': '50.922275654327244', 'longitude': '-113.94811729494288', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.94811729494288, 50.922275654327244]}",3,4,139,247,8,
66,19 STRATHCONA PL SW,STRATHCONA,PL,SW,19,Parcel,-114.16959507206387,51.04619735014249,"{'latitude': '51.04619735014249', 'longitude': '-114.16959507206387', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.16959507206387, 51.04619735014249]}",1,1,67,20,14,
67,71 ROYAL OAK PT NW,ROYAL OAK,PT,NW,71,Parcel,-114.23107488609013,51.14912216419821,"{'latitude': '51.14912216419821', 'longitude': '-114.23107488609013', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.23107488609013, 51.14912216419821]}",2,3,252,13,9,
68,77 DOUGLASDALE CR SE,DOUGLASDALE,CR,SE,77,Parcel,-113.98679463356831,50.93353430820052,"{'latitude': '50.93353430820052', 'longitude': '-113.98679463356831', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.98679463356831, 50.93353430820052]}",3,4,268,124,13,
69,19 CORNERSTONE AV NE,CORNERSTONE,AV,NE,19,Parcel,-113.94604700115147,51.16079479122833,"{'latitude': '51.16079479122833', 'longitude': '-113.94604700115147', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.94604700115147, 51.16079479122833]}",4,11,11,133,1,
70,29 CRESTHAVEN WY SW,CRESTHAVEN,WY,SW,29,Parcel,-114.26449401502482,51.08513721522815,"{'latitude': '51.08513721522815', 'longitude': '-114.26449401502482', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.26449401502482, 51.08513721522815]}",1,13,31,248,9,
71,1732 14 AV SW,14,AV,SW,1732,Parcel,-114.1013625386996,51.04072113267175,"{'latitude': '51.04072113267175', 'longitude': '-114.1013625386996', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.1013625386996, 51.04072113267175]}",1,14,136,235,2,
72,230 MYSTIC RIDGE PA SW,MYSTIC RIDGE,PA,SW,230,Parcel,-114.20677705948368,51.028669641103505,"{'latitude': '51.028669641103505', 'longitude': '-114.20677705948368', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.20677705948368, 51.028669641103505]}",1,1,289,22,14,
73,28 COUNTRY VILLAGE MR NE,COUNTRY VILLAGE,MR,NE,28,Parcel,-114.05712162773737,51.16122904658562,"{'latitude': '51.16122904658562', 'longitude': '-114.05712162773737', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.05712162773737, 51.16122904658562]}",4,11,264,112,12,
74,117 SCENIC RIDGE CR NW,SCENIC RIDGE,CR,NW,117,Parcel,-114.21946437305276,51.10875852713417,"{'latitude': '51.10875852713417', 'longitude': '-114.21946437305276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.21946437305276, 51.10875852713417]}",2,13,148,48,9,
75,32 MARTINGROVE ME NE,MARTINGROVE,ME,NE,32,Parcel,-113.95072579670894,51.11179045343505,"{'latitude': '51.11179045343505', 'longitude': '-113.95072579670894', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.95072579670894, 51.11179045343505]}",4,9,180,184,1,
76,23 NOLANCREST MR NW,NOLANCREST,MR,NW,23,Parcel,-114.16915160597044,51.17728414326003,"{'latitude': '51.17728414326003', 'longitude': '-114.16915160597044', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.16915160597044, 51.17728414326003]}",2,3,188,188,10,
77,45 RED EMBERS RO NE,RED EMBERS,RO,NE,45,Parcel,-113.95258408153022,51.16775103954852,"{'latitude': '51.16775103954852', 'longitude': '-113.95258408153022', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.95258408153022, 51.16775103954852]}",4,11,3,85,1,
